t_index    term   df
59b9bcf8   ashkroft   1
dad7a340   ashok   1
a5fc7b2e   ashor   2
970ecaaf   ashraf   1
3f2d36d4   ashtrai   1
8ae1611c   asia   44
c2ec2039   asian   16
e18aa40b   asid   32
040ccc80   ask   256
ca4ad45c   aspect   11
4befe2d8   aspir   2
52cf5406   assad   2
2da1627b   assail   4
5d3f9d24   assam   6
57736a7f   assassin   22
a2ce34ff   assault   43
d3e40995   assembl   20
6ba2ebfe   assert   23
b233b532   assess   58
8b35610f   asset   13
8f02bb13   assign   31
93b55525   assist   89
31980b4c   associ   140
5d9f9ff3   assort   1
e785e871   assum   49
a4faa7b8   assumpt   7
2ae3b605   assur   38
00b48981   assuredli   2
3934a5ae   astakhov   38
6890fbff   asterisk   2
01874053   astonish   7
1f5c31d1   astound   2
a4251ce9   astronom   1
0de93b1a   astut   1
028f11ed   asylum   42
d50c1652   asymmetr   3
9e63efa2   atal   15
94ad5a1c   atck   2
adf4ce86   atf   2
5af8edd9   atfein   1
a75440ba   ath   1
4085f82d   athal   1
6ea30243   athlet   4
49892bcf   atlant   18
4fffdf57   atlanta   10
13ad5b41   atmat   1
1a3d2844   atmospher   10
dd82b0c9   atom   4
7edf6cb4   atop   15
6f6259d0   atp   3
4f31d76a   atroc   12
0015a6f0   atrophi   1
d3dfbda5   attach   16
0af9fea8   attack   893
3c4f8195   attain   1
6ee04a49   attar   1
7bde88f5   attempt   130
8c55a68a   attend   81
fc8eb7c6   attent   73
c8b693cb   attest   3
be312cb9   attitud   12
fa05633d   attornei   82
571f0375   attract   16
adff029c   attribut   12
637ff9e9   attrit   1
f3553e32   atwan   1
c96ebf25   aubrei   20
6a8d9e89   aubri   5
aa8131cb   audienc   18
58ac397f   audio   5
ce77ffe3   audiotap   1
46e2aa4d   auditor   5
bfefb30d   auditorium   1
c6281650   aug   38
4dee853e   augment   1
f8867708   august   35
f9c4a974   aunt   3
dd98c20b   aur   6
0a8d40f0   aura   1
68f9c8c6   aurora   4
6ea15104   ausi   1
4128d547   aussi   10
de224f6d   auster   2
31003edb   austin   22
834ba184   australia   33
e4339ffa   australian   177
580daa3b   austria   4
27d8a874   austrian   1
149a0d37   austro   1
649ed8c6   authent   2
bc1f5a4f   author   395
06f661a0   authoritarian   29
a6921829   auto   1
a1b89875   autocrat   36
c21e4331   autograph   2
e0e0e78e   autom   1
1f391869   automat   18
0d2fbb15   automobil   5
1d1b376a   autonom   1
927baf8b   autonomi   3
91a04ffb   autopilot   1
73d392b1   autopsi   1
74734083   autumn   2
7426b714   avail   47
d24047b2   avala   1
3cb267cf   avalanch   1
7321510f   aveng   7
dadc034e   avent   1
